Accesion No.,Book Title,Author,Rack No.,Classification,Condition,Copy,Source,Corrections
85080,Madhyasiddhantha Koumudi,Varadaraja,R-0-Z,B6,NA,OC,MAIN,
85081,Madhyasiddhantha Koumudi,Varadaraja,R-8-D,B6,G,OC,MAIN,
85082,Madhyasiddhantha Koumudi,Varadaraja,R-4-F,B6,G,OC,MAIN,
85083,Madhyasiddhantha Koumudi,Varadaraja,R-8-D,B6,G,OC,MAIN,
85084,Madhyasiddhantha Koumudi,Varadaraja,R-8-D,B6,G,OC,MAIN,
85085,Madhyasiddhantha Koumudi,Varadaraja,R-8-D,B6,G,OC,MAIN,
85086,Madhyasiddhantha Koumudi,Varadaraja,R-8-D,B6,G,OC,MAIN,
85087,Indian Philosophy Vol I,Sinha Tadunath,R-4-A,C9,G,OC,MAIN,
85088,Indian Philosophy Vol II,Sinha Tadunath,R-4-A,C9,G,OC,MAIN,
85089,Indian Philosophy Vol III,Sinha Tadunath,R-4-A,C9,G,OC,MAIN,
85090,Encyclopedia of Indian Philosophy Vol IV,Larson And Bhattacharya,R-4-A,R,G,OC,MAIN,
85091,Encyclopedia of Indian Philosophy Vol VI,Potter And Bhattacharya,R-4-A,R,G,OC,MAIN,
85092,"Life, Thought And Culture In India Vol II, Part 1",Chattopadhaya (DP) Ed,R-4-A,M,G,OC,MAIN,
85093,"Advaitha Vedanta Vol II, Part 2",Chattopadhaya (DP) Ed,R-4-A,C6,G,OC,MAIN,
85094,"Theistic Vedanta Vol II, Part 3",Chattopadhaya (DP) Ed,R-4-A,C6,G,OC,MAIN,
86064,Buddhist Texts Through The Ages,Cogne (Edward) Ed.,R-6-F,C7,G,OC,MAIN,
86065,Changadaasa Karika,S.P. Sarma,R-6-F,B6,G,OC,MAIN,
86066,A Critical Survery of Bhasa's Mahabharatam Dramas,Biswanath Bhattacharyya,R-6-F,I,G,OC,MAIN,
86067,Encylopeadia of The Hindu World Volume I A - AJ,Gangaram Garg,R-6-F,R,G,OC,MAIN,
86068,Encylopeadia of The Hindu World Volume II AK - AQ,Gangaram Garg,R-6-F,R,G,OC,MAIN,
86069,Encylopeadia of The Hindu World Volume III AR- AZ,Gangaram Garg,R-6-F,R,G,OC,MAIN,
86070,The Hindu Temple Volume I,Stella Kramrisch,R-6-F,M,G,OC,MAIN,
86071,The Hindu Temple Volume II,Stella Kramrisch,R-6-F,M,G,OC,MAIN,
86072,Itihasa Nidarsanam,Stella Kramrisch,R-6-F,F1,G,OC,MAIN,
86073,Improvisation In Ancient Theatre,K F Paulose,R-3-F,I1,G,OC,MAIN,
86074,Advaita Navaneetam,"Pandurangi (KT), Krishnavaduta",R-6-F,C6,G,OC,MAIN,
86075,Mahabharata Tatparyaniranaya,Pandurangi (KT),R-6-F,D3,G,OC,MAIN,
86076,Mahakavi Sudraka,Ramasankara Tiwary,R-6-F,M1,G,OC,MAIN,
86077,"Mayamatam: Treatise of Housing, Architecture And Iconography Vol I",Dagens (Bruno),R-6-F,C8,G,OC,MAIN,
86078,"Mayamatam: Treatise of Housing, Architecture And Iconography Vol II",Dagens (Bruno),R-6-F,C8,G,OC,MAIN,
86079,Mimamsanyaya Prakasa Vimarsa,Pandey (Kapil Dev),R-6-F,C5,G,OC,MAIN,
86080,Mutual Causality In Buddhism And General Systems Theory,Mary (Joanna),R-6-F,M,G,OC,MAIN,
86081,Prakrit Verses In Sanskrit Works On Poetics Volume - I Text B,Kulkarni (V.M),R-6-F,J,G,OC,MAIN,
86082,Sanskrta - Vanmaya Vallari,Gangadhar Panda And Pranavdini Panda,R-6-F,O,G,OC,MAIN,
86083,Sarngadhara Samhita of Sarngadharacarya,Chandra Murthy (Hima Sagara),R-6-F,C8,G,OC,MAIN,
86084,Sri Dvarakadish Mahakavyam,,R-6-F,F1,G,OC,MAIN,
86085,Sastra - Samhita (Sutra Sthanam),Cakrapani Datta,R-6-F,C8,G,OC,MAIN,
86086,Thinking Ritually,Clooney (Francis X),R-6-F,M,G,OC,MAIN,
86087,Vaidhyaka - Sabda Sindhu,Umasachandra Gupta,R-6-F,C8,G,OC,MAIN,
86088,Vedantakaustubha Prabha of Sri Kesavakasmiri Bhatta,"Misra (BW), Ed.",R-6-F,C6,G,OC,MAIN,
86089,"Vedas And Computers, Concepts of Compule - Compile In Vedic Mimamsa",Avadhanulu,R-6-F,M,G,OC,MAIN,
86090,Kavya Prakasha Volume I,,R-6-F,J,G,OC,MAIN,
86091,Kavya Prakasha Volume II,,R-6-F,J,G,OC,MAIN,
86092,Kavya Prakasha Volume III,,R-6-F,J,G,OC,MAIN,
86093,Kavya Prakasha Volume IV,,R-6-F,J,G,OC,MAIN,
86094,Kavya Prakasha Volume V,,R-6-F,J,G,OC,MAIN,
86095,Kavya Prakasha Volume VI,,R-6-F,J,G,OC,MAIN,
86096,Sahithya Darpana Volume I,,R-6-F,J,G,OC,MAIN,
86097,Sahithya Darpana Volume II,,R-6-F,J,G,OC,MAIN,
86098,Sahithya Darpana Volume III,,R-6-F,J,G,OC,MAIN,
86099,Sahithya Darpana Volume IV,,R-6-F,J,G,OC,MAIN,
86100,Brahmasutra Sankara Bhasyam Volume I,,R-6-F,C6,G,OC,MAIN,
86101,Brahmasutra Sankara Bhasyam Volume II,,R-6-F,C6,G,OC,MAIN,
86102,Brahmasutra Sankara Bhasyam Volume III,,R-6-F,C6,G,OC,MAIN,
86103,Brahmasutra Sankara Bhasyam Volume IV,,R-6-F,C6,G,OC,MAIN,
86104,Brahmasutra Sankara Bhasyam Volume V,,R-6-F,C6,G,OC,MAIN,
86105,Brhamasutra Sankara Bhasyam Volume VI,,R-6-F,C6,G,OC,MAIN,
86106,Kavyadarsha Volume I,,R-6-F,J,G,OC,MAIN,
86107,Kavyadarsha Volume II,,R-6-F,J,G,OC,MAIN,
86108,Kavyadarsha Volume III,,R-6-F,J,G,OC,MAIN,
86109,Kavyadarsha Volume IV,,R-6-F,J,G,OC,MAIN,
86110,Ascarya Cudamani,Menon (K.P.A),R-6-F,I,G,OC,MAIN,
86111,Tripuradahanam Saurikathodayaha,Menon (K.P.A),R-6-D,I,G,OC,MAIN,
86112,Adhyatma Ramayanam Volume I,Menon (K.P.A),R-6-D,D1,G,OC,MAIN,
86113,Adhyatma Ramayanam Volume II,Menon (K.P.A),R-6-D,D1,G,OC,MAIN,
86114,Sri Kasavijayah Nalodayah,Menon (K.P.A),R-6-D,O,G,OC,MAIN,
86115,Patanjali's Yoga Sutras,"Rama Prasada, TR",R-6-D,C4,G,OC,MAIN,
86116,Yajurveda Samhita,Griffith (Ralph TH) TR,R-6-D,A2,G,OC,MAIN,
86117,The Samaveda Samhita,Griffith (Ralph TH) TR,R-6-D,A3,G,OC,MAIN,
86118,Mantramahodadhi of Mahidhara,Sudhakar Malaviya,R-6-C,C8,G,OC,MAIN,
86120,Panosama of Proverbs Part II,Bejai Singh,R-6-D,M,G,OC,MAIN,
86121,Mimamsa Nyaya Prakasa,Vasudev Sastri Abhyankar,R-6-E,C5,G,OC,MAIN,
86122,Analysis of The Puranas,Wilson (H H),R-7-C,E1,G,OC,MAIN,
86123,Nervous Systems In Yoga And Tantra,Ashok Majumdar,R-7-C,M,G,OC,MAIN,
86124,Introduction To Tantras And Their Philosophy,Pushpendra Kumar,R-7-C,C8,G,OC,MAIN,
86125,Layout For Different Sacrifices According To Different Srauta Sutras,Kulkarni R P,R-4-C,A5,G,OC,MAIN,
86126,The Atharva Veda Pratisakhya,Whifney (William D),R-7-C,A4,G,OC,MAIN,
86127,Kavyadarsa,Dandin,R-4-C,J,G,OC,MAIN,
86128,Bhasa Afresh,Unni (N.P),R-7-C,M1,G,OC,MAIN,
86129,Bhagavata Bhakti Cult And Three Advaita Acarya,Ramnarayan Vyas,R-7-C,C8,G,OC,MAIN,
86130,Problems In Vedic And Sanskrit Literature,Deshpande (Maitreyea) Ed,R-6-C,K,G,OC,MAIN,
86131,Development of Nagari Script,Singha A K,R-4-B,L,G,OC,MAIN,
86132,Saundarya Lahari,Kuppuswami (A),R-6-C,F2,G,OC,MAIN,
86133,Tarakamrtam,Piyushkant Dixit,R-6-D,C1,G,OC,MAIN,
86134,Agriculture And Animal Husbandry In The Vedas,Kansara (N M),R-7-C,A6,G,OC,MAIN,
86135,Udaya Sundari Katha of Soddhala,Sudarshan Kumar Sharma,R-6-C,S,G,OC,MAIN,
86136,Panini Pratyayartha Kosa,Jnana Prakasa Sastri,R-4-E,R,G,OC,MAIN,
86137,Vedanta - Paribhasa,Madhvarajadhvarindra,R-6-C,C6,G,OC,MAIN,
86138,Mimamsa Nyaya Bodhini,Apadeva,R-5-D,C5,G,OC,MAIN,
86139,Panini Astadhyayi Tamil Part I,Meenakshi K,R-15-D,B6,G,OC,MAIN,
86140,Panini Astadhyayi Tamil Part II,Meenakshi K,R-15-D,B6,G,OC,MAIN,
86141,Panini Astadhyayi Tamil Part III,Meenakshi K,R-15-D,B6,G,OC,MAIN,
86142,Panini To Patanjali A Grammatical,Ray (Bidyut Lata),R-7-C,B6,G,OC,MAIN,
86143,Sanskrith Sahithya Jalavigyan,,R-7-C,M,G,OC,MAIN,
86144,Sanskrith Sahithya Jalavigyan,,R-7-C,M,G,OC,MAIN,
86145,Kavyaprakasa,Manmata,R-4-D,J,G,OC,MAIN,
86146,Manava Srauta Sutra,Pramod Bala Misra,R-4-B,A5,G,OC,MAIN,
86147,Nilakantha's The Kavyollasa,Sukumaran ( C ),R-7-C,J,G,OC,MAIN,
86148,The Concept of Purusarthas,Chandra Chakrabarti Saoniran,R-7-C,M,G,OC,MAIN,
86149,Tarkasamgraha,,R-7-C,C2,G,OC,MAIN,
86151,Sakatayana Vyakaran,,R-7-C,B6,G,OC,MAIN,
86152,Vakyartha Vivechan,,R-7-C,O,G,OC,MAIN,
86153,Vedanga Itihasa,,R-7-C,B7,G,OC,MAIN,
86164,Yoga Philosophy of Pantanjali With Bhasa vritti,Hariharananda Misra,R-4-F,C4,G,OC,MAIN,
86165,The Six Ways of Knowing,Datta (D M),R-7-C,M,G,OC,MAIN,
86166,The Six Ways of Knowing,Datta (D M),R-7-C,M,G,OC,MAIN,
86167,The Six Ways of Knowing,Datta (D M),R-7-C,M,G,OC,MAIN,
86168,A Primer of Indian Logic,Kuppuswami Sastri (S),R-7-C,C2,G,OC,MAIN,
86169,A Primer of Indian Logic,Kuppuswami Sastri (S),R-7-C,C2,G,OC,MAIN,
86170,A Primer of Indian Logic,Kuppuswami Sastri (S),R-7-C,C2,G,OC,MAIN,
86171,Sanskrit Astronomical Tables In England,Pingree (David),R-6-C,R,G,OC,MAIN,
86172,Gadyakarnamrta of Sakala - Vidyacakravarttin,Janaki (S S),R-7-C,G,G,OC,MAIN,
86173,Kuppuswamy Sastri Prithcautanany Commenurabi Part I Collecting Sastri's Writing,Janaki (S S) Ed,R-6-C,P,G,OC,MAIN,
86174,Kuppuswamy Sastri Prithcautanany Commenurabi Part II Selected Reserved Papers Presented With Prith Centanary Seminars,Janaki (S S) Ed,R-6-C,P,G,OC,MAIN,
86175,Dhvaja - Stambha,Janaki (S S),R-7-C,C8,G,OC,MAIN,
86176,Dhvaja - Stambha,Janaki (S S),R-7-C,C8,G,OC,MAIN,
86177,The Concept of The Beautiful In Sanskrit Literature,Raghavan (V),R-0-Z,J,NA,OC,MAIN,
86178,The Concept of The Beautiful In Sanskrit Literature,Raghavan (V),R-0-Z,J,NA,OC,MAIN,
86179,Karpura Charita Bhana of Amatya Vatsaraja,Janaki (S S),R-0-Z,I,NA,OC,MAIN,
86180,Karpura Charita Bhana of Amatya Vatsaraja,Janaki (S S),R-0-Z,I,NA,OC,MAIN,
86181,Research In Sanskrit,Sarma (K V),R-6-D,R,G,OC,MAIN,
86182,Pearls Thrice Three Hundred,Subramanian (A V),R-6-D,R,G,OC,MAIN,
86183,Compromises In The History of Advaitic Thought,Kuppuswami Sastri (S),R-0-Z,C6,NA,OC,MAIN,
86184,Highways And By Ways of Literary Criticism In Sanskrit,Kuppuswami Sastri (S),R-0-Z,R,NA,OC,MAIN,
86185,Highways And By Ways of Literary Criticism In Sanskrit,Kuppuswami Sastri (S),R-0-Z,R,NA,OC,MAIN,
86186,Spoken Sanskrit,Kuppuswami Sastri Research Institue,R-7-C,O,G,OC,MAIN,
86187,Spoken Sanskrit,Kuppuswami Sastri Research Institue,R-7-C,O,G,OC,MAIN,
86188,Eclipses In Hindu Life And Thought,Jayashree Hariharan,R-7-C,M,G,OC,MAIN,
86189,Palandu Mandana Prahasana of Henijivanamisa,Raghavan (V),R-7-C,I,G,OC,MAIN,
86190,Palandu Mandana Prahasana of Henijivanamisa,Raghavan (V),R-7-C,I,G,OC,MAIN,
86191,A History of Sanskrit Literature,Venkatarama Sastri,R-7-C,K,G,OC,MAIN,
86192,A History of Sanskrit Literature,Venkatarama Sastri,R-7-C,K,G,OC,MAIN,
86193,A History of Sanskrit Literature,Venkatarama Sastri,R-7-C,K,G,OC,MAIN,
86194,A History of Sanskrit Literature,Venkatarama Sastri,R-7-C,K,G,OC,MAIN,
86195,Bhasasastra Pravesini,Venkatarama Sastri (R S),R-0-Z,L,NA,OC,MAIN,
86196,Bhasasastra Pravesini,Venkatarama Sastri (R S),R-0-Z,L,NA,OC,MAIN,
86197,Bhasasastra Pravesini,Venkatarama Sastri (R S),R-0-Z,L,NA,OC,MAIN,
86198,Bhasasastra Pravesini,Venkatarama Sastri (R S),R-0-Z,L,NA,OC,MAIN,
86199,"Sri Umapati Sivacharya His Life, Work And Contribution To Saivisam",Janaki (S S),R-7-C,M1,G,OC,MAIN,
86200,Sanskrit And Science,Janaki (S S),R-7-C,M,G,OC,MAIN,
86201,Sanskrit And Science,Janaki (S S),R-7-C,M,G,OC,MAIN,
86202,History of Grammatical Theories,Subramania Sastri (PS),R-7-C,K,G,OC,MAIN,
86203,Valmiki Ramayana,Valmiki,R-8-B,D1,G,OC,MAIN,
86204,Valmiki Ramayana,Valmiki,R-8-B,D1,G,OC,MAIN,
86205,Women's Role In Kudiyatham,Rajagopalan (L S),R-7-C,I1,G,OC,MAIN,
86206,Kudiyatham Prliminaries And Perfoemance,Rajagopalan (L S),R-7-C,I1,G,OC,MAIN,
86207,Bhagavad Gita Bibiliography Volume I,Suryakumari Dwaraka Das,R-6-C,R,G,OC,MAIN,
86208,Saiva Rituals And Philosophy,Janaki (S S),R-7-C,C8,G,OC,MAIN,
86209,Kalamukha And  Pasupata Temples In Dharwan,Vasundhara Filliozat,R-7-C,C8,G,OC,MAIN,
86210,Ramabhadra Diksita And His Works; A Study,Thiruvengadathan (A),R-7-C,M1,G,OC,MAIN,
86211,Prasanna Raghavam,Panisikar(V.L.S),R-3-B,I,G,OC,MAIN,
86212,Prasanna Raghavam,Panisikar(V.L.S),R-3-B,I,G,OC,MAIN,
86213,Prasanna Raghavam,Panisikar(V.L.S),R-3-B,I,G,OC,MAIN,
86214,Prasanna Raghavam,Panisikar(V.L.S),R-0-Z,I,NA,OC,MAIN,
86215,Sri Mrgendra Tantiram,Madhusudan Kaul Sastri,R-3-B,C8,G,OC,MAIN,
86216,Kreeda Kausalam,Madhusudan Kaul Sastri,R-7-A,M,G,OC,MAIN,
86217,Vedanta Sutra Vidik Vriti,Madhusudan Kaul Sastri,R-3-B,C6,G,OC,MAIN,
86218,Vedanta Sutra Vidik Vriti,Madhusudan Kaul Sastri,R-7-A,C6,G,OC,MAIN,
86219,Campu Ramayana,Laksman Sastri Parikar (Vasudev),R-3-B,H,G,OC,MAIN,
86220,Campu Ramayana,Laksman Sastri Parikar (Vasudev),R-3-F,H,G,OC,MAIN,
86221,Campu Ramayana,Lakshmana Suri,R-12-D,H,G,OC,MAIN,
86222,Campu Ramayana,Laksman Sastri Parikar (Vasudev),R-12-F,H,G,OC,MAIN,
86223,Campu Ramayana,Lakshmana Suri,R-12-D,H,G,OC,MAIN,
86224,Campu Ramayana,Laksman Sastri Parikar (Vasudev),R-12-F,H,G,OC,MAIN,
86225,Campu Ramayana,Laksman Sastri Parikar (Vasudev),R-12-F,H,G,OC,MAIN,
86226,Campu Ramayana,Laksman Sastri Parikar (Vasudev),R-12-F,H,G,OC,MAIN,
86227,Kaviya Pradipa,Durga Prasada & Laxman Sastri Pansikar,R-12-F,J,G,OC,MAIN,
86228,Kaviya Pradipa,Durga Prasada & Laxman Sastri Pansikar,R-12-F,J,G,OC,MAIN,
86229,Kaviya Pradipa,Durga Prasada & Laxman Sastri Pansikar,R-12-F,J,G,OC,MAIN,
86230,Kaviya Pradipa,Durga Prasada & Laxman Sastri Pansikar,R-12-F,J,G,OC,MAIN,
86231,Kaviya Pradipa,Durga Prasada & Laxman Sastri Pansikar,R-12-F,J,G,OC,MAIN,
86232,Haravijya,Durga Prasada & Laxman Sastri Pansikar,R-12-F,F1,G,OC,MAIN,
86233,Haravijya,Durga Prasada & Laxman Sastri Pansikar,R-12-F,F1,G,OC,MAIN,
86234,Kaviya The Setubandha Mala,Sivadatta Pandit &pandurang Parb(Krinath),R-12-F,F1,G,OC,MAIN,
86235,Kaviya Setubandha,Sivadatta Pandit &pandurang Parb(Krinath),R-12-F,F1,G,OC,MAIN,
86236,Srikanthacaritam,Janaraja,R-12-F,F1,G,OC,MAIN,
86237,Srikanthacaritam,Janaraja,R-12-F,F1,G,OC,MAIN,
86238,Srikanthacaritam,Janaraja,R-12-F,F1,G,OC,MAIN,
86239,Srikanthacaritam,Janaraja,R-12-F,F1,G,OC,MAIN,
86240,Gatha Saptasati,Mathura Nath Sastri Bhatta,R-12-F,F2,G,OC,MAIN,
86241,Karpuramanjari,Vasudev & Bala Bharata,R-7-E,F1,D,OC,MAIN,
86242,Karpuramanjari,Vasudev & Bala Bharata,R-3-F,F1,G,OC,MAIN,
86243,Karpuramanjari,Vasudev & Bala Bharata,R-7-E,F1,D,OC,MAIN,
86244,Karpuramanjari,Vasudev & Bala Bharata,R-7-E,F1,D,OC,MAIN,
86245,Karpuramanjari,Vasudev & Bala Bharata,R-7-E,F1,D,OC,MAIN,
86246,Hara Charita Chintamani,Jayaruatha(Rajanaka),R-7-A,F1,G,OC,MAIN,
86247,Yudhisthria Vijaya,Vasudev,R-7-A,F1,G,OC,MAIN,
86248,Yudhisthria Vijaya,Vasudev,R-7-A,F1,G,OC,MAIN,
86249,Yudhisthria Vijaya,Vasudev,R-7-A,F1,G,OC,MAIN,
86250,Yudhisthria Vijaya,Vasudev,R-7-A,F1,G,OC,MAIN,
86251,Anubhuti Prakasha,Vidyaranya Swami,R-1-E,C6,G,OC,MAIN,
86252,Parvataharana Champu,Sesha Srikrishna,R-7-A,H,G,OC,MAIN,
86253,Parvataharana Champu,Sesha Srikrishna,R-7-A,H,G,OC,MAIN,
86254,Parvataharana Champu,Sesha Srikrishna,R-7-A,H,G,OC,MAIN,
86255,Parvataharana Champu,Sesha Srikrishna,R-7-A,H,G,OC,MAIN,
86256,Parvataharana Champu,Sesha Srikrishna,R-7-A,H,G,OC,MAIN,
86257,Dasavatara Caritam,Ksemendra,R-7-A,F1,G,OC,MAIN,
86258,Dasavatara Caritam,Ksemendra,R-7-A,F1,G,OC,MAIN,
86259,Dasavatara Caritam,Ksemendra,R-7-A,F1,G,OC,MAIN,
86260,Dasavatara Caritam,Ksemendra,R-7-A,F1,G,OC,MAIN,
86261,Campubharatam,Anatkavi,R-12-F,H,G,OC,MAIN,
86262,Campubharatam,Anatkavi,R-12-F,H,G,OC,MAIN,
86263,Campubharatam,Anatkavi,R-12-F,H,G,OC,MAIN,
86264,Campubharatam,Anatkavi,R-12-F,H,G,OC,MAIN,
86265,Maitrayani Samhita,,R-12-B,A1,G,OC,MAIN,
86266,Kathaka Samhita,,R-12-B,A1,G,OC,MAIN,
86267,Padukasahasram,Venkatanatha Desika,R-7-A,F2,G,OC,MAIN,
86268,Padukasahasram,Venkatanatha Desika,R-7-A,F2,G,OC,MAIN,
86269,Padukasahasram,Venkatanatha Desika,R-7-A,F2,G,OC,MAIN,
86270,Padukasahasram,Venkatanatha Desika,R-7-A,F2,G,OC,MAIN,
86271,Bharata Manjari,Ksemendra,R-12-E,F1,G,OC,MAIN,
86272,Nyayamrta And Advitaitasiddhi,Anantakrishna Sastri,R-12-F,C6,G,OC,MAIN,
86273,Nyayamrta And Advitaitasiddhi,Anantakrishna Sastri,R-12-F,C6,G,OC,MAIN,
86274,Ujjwalanilamani,Rupagaswami,R-7-A,J,G,OC,MAIN,
86275,Ujjwalanilamani,Rupagaswami,R-7-A,J,G,OC,MAIN,
86276,The Kadambari,Banabhatta And Bhusanabhatta,R-12-F,G,G,OC,MAIN,
86277,The Kadambari,Banabhatta And Bhusanabhatta,R-12-E,G,G,OC,MAIN,
86278,The Kadambari,Banabhatta And Bhusanabhatta,R-12-F,G,G,OC,MAIN,
86279,The Kadambari,Banabhatta And Bhusanabhatta,R-12-F,G,G,OC,MAIN,
86280,Laghuyoga Vasista,Vasudeva Sharma Pansikara,R-7-A,C6,G,OC,MAIN,
86281,Lalitasahasranama,Laxmana Shastri Pansikar(Vasudeva),R-7-A,E,G,OC,MAIN,
86282,Lalitasahasranama,Laxmana Shastri Pansikar(Vasudeva),R-7-A,E,G,OC,MAIN,
86283,Mudrarakshasa,Trimbak Telany(Kashinath),R-7-A,I,G,OC,MAIN,
86284,Mudrarakshasa,Trimbak Telany(Kashinath),R-7-A,I,G,OC,MAIN,
86285,Mudrarakshasa,Trimbak Telany(Kashinath),R-7-A,I,G,OC,MAIN,
86286,Mudrarakshasa,Trimbak Telany(Kashinath),R-7-A,I,G,OC,MAIN,
86287,Smrtikaustubha,Laksmana Panasikara (Vasudeva),R-7-A,A5,G,OC,MAIN,
86288,The Kumarasambham of Kalidasa,Laksmana Panasikara (Vasudeva),R-7-A,F1,G,OC,MAIN,
86289,The Kumarasambham of Kalidasa,Laksmana Panasikara (Vasudeva),R-7-A,F1,G,OC,MAIN,
86290,Ramayana Manjari,Kshemendra,R-7-A,F1,G,OC,MAIN,
86291,Ramayana Manjari,Kshemendra,R-3-F,F1,G,OC,MAIN,
86292,Sarngadhara Samhita,Sarngadharacharya,R-7-D,C8,G,OC,MAIN,
86293,Sisupalaradha of Magha With Sanankasha Sanskrit Commentry of Malinath,Sivadutta Dadhicha,R-7-A,F1,G,OC,MAIN,
86294,Sisupalaradha of Magha With Sanankasha Sanskrit Commentry of Malinath,Sivadutta Dadhicha,R-7-A,F1,G,OC,MAIN,
86295,Sisupalaradha of Magha With Sanankasha Sanskrit Commentry of Malinath,Sivadutta Dadhicha,R-7-A,F1,G,OC,MAIN,
86296,Sisupalaradha of Magha With Sanankasha Sanskrit Commentry of Malinath,Sivadutta Dadhicha,R-7-A,F1,G,OC,MAIN,
86297,Naisadhiyacharita,,R-7-A,F1,G,OC,MAIN,
86298,Naisadhiyacharita,,R-7-A,F1,G,OC,MAIN,
86299,Naisadhiyacharita,,R-7-A,F1,G,OC,MAIN,
86300,Naisadhiyacharita,,R-7-A,F1,G,OC,MAIN,
86301,Madhavnaidana,Madhavakara,R-7-A,F1,G,OC,MAIN,
86302,Alankara Koustabha,Visvesvara Pandita,R-12-E,J,G,OC,MAIN,
86303,Alankara Koustabha,Visvesvara Pandita,R-12-E,J,G,OC,MAIN,
86304,Sarngadhara Paddhati,Sarngadhara,R-12-E,C8,G,OC,MAIN,
86305,Sarngadhara Paddhati,Sarngadhara,R-12-E,C8,G,OC,MAIN,
86306,Tatvapradipika,Chitsukha Charya,R-12-B,C6,G,OC,MAIN,
86307,Nyayadarsana,Ashubodha Vidyabhushanu Nityabidha Vidyartna,R-12-E,C2,G,OC,MAIN,
86308,Nyayadarsana,Ashubodha Vidyabhushanu Nityabidha Vidyartna,R-12-E,C2,G,OC,MAIN,
86309,Bhagavanta Bhaskara Part-I,Nilakantha Bhatta,R-12-F,A5,G,OC,MAIN,
86310,Bhagavanta Bhaskara Part-II,Nilakantha Bhatta,R-12-E,A5,G,OC,MAIN,
86311,Purascaryarnava,Muralidhar Jha,R-12-B,C8,G,OC,MAIN,
86312,Subhadradhananjajam,Ganapathi Sastri,R-12-E,I,G,OC,MAIN,
86313,Subhadradhananjajam,Ganapathi Sastri,R-12-E,I,G,OC,MAIN,
86314,Tapatisamvarana,Ganapathi Sastri,R-12-E,I,G,OC,MAIN,
86315,Tapatisamvarana,Ganapathi Sastri,R-12-E,I,G,OC,MAIN,
86316,Sarasvatikanthabharanam,Bhojadeva,R-7-A,J,G,OC,MAIN,
86317,Srimadbhagvatam,,R-7-B,E,G,OC,MAIN,
86318,Kavyamala - Tilaka Manjari,Dhanapala,R-7-D,R,G,OC,MAIN,
86319,Kavyamala - Tilaka Manjari,Dhanapala,R-7-D,R,G,OC,MAIN,
86320,Kavyamala - Tilaka Manjari,Dhanapala,R-7-D,R,G,OC,MAIN,
86321,Kavyamala - Tilaka Manjari,Dhanapala,R-7-D,R,G,OC,MAIN,
86322,Aitareya Abrahmsnam,,R-12-E,A2,G,OC,MAIN,
86323,Bhaskarodaya,Lakshmi Nrisimha Shastri,R-12-E,C2,G,OC,MAIN,
86324,Satapatha Brahmana Vol-I,,R-12-B,A2,G,OC,MAIN,
86325,Satapatha Brahmana Vol-II,,R-12-B,A2,G,OC,MAIN,
86326,Brahmasutra Sri Bhasya Vol-I,Sri Visishtadvaita Pracharini Sabha,R-7-D,C6,G,OC,MAIN,
86327,Brahmasutra Sri Bhasya Vol-I,Sri Visishtadvaita Pracharini Sabha,R-3-B,C6,G,OC,MAIN,
86328,Brahmasutra Sri Bhasya Vol-II,Sri Visishtadvaita Pracharini Sabha,R-3-B,C6,G,OC,MAIN,
86329,Brahmasutra Sri Bhasya Vol-II,Sri Visishtadvaita Pracharini Sabha,R-7-D,C6,G,OC,MAIN,
86330,Sastra Dipika,Samanatha And Ramakrishna,R-7-D,C5,G,OC,MAIN,
86331,Sastra Dipika,Samanatha And Ramakrishna,R-7-D,C5,G,OC,MAIN,
86332,Arya Saptasti,Ananta Pandit,R-12-E,F2,G,OC,MAIN,
86333,Kavyanusasana,Sivadatta And Pandurang Parah,R-7-A,J,G,OC,MAIN,
86334,Kavyanusasana,Sivadatta And Pandurang Parah,R-7-A,J,G,OC,MAIN,
86335,Smritichandrika I Samsrkanda II Ahnika Kanda,Srinivasacharya(L),R-7-D,A5,G,OC,MAIN,
86336,Smritichandrika III Yyayachyra Kanda,Srinivasacharya(L),R-7-D,A5,G,OC,MAIN,
86337,Smritichandrika III SRADDHAKANDA,Srinivasacharya(L),R-12-E,A5,G,OC,MAIN,
86338,Advaitha Tattva Sudha Second Part Vol I,Anantakrishna Sastri,R-12-E,C6,G,OC,MAIN,
86339,Advaitha Tattva Sudha Second Part Vol II,Anantakrishna Sastri,R-12-E,C6,G,OC,MAIN,
86340,Advaitha Tattva Sudha FRIST Part,Anantakrishna Sastri,R-12-E,C6,G,OC,MAIN,
86341,Brahma Sutra Bhasya Vol-I,Halasyanatha Sastri,R-12-B,C6,G,OC,MAIN,
86342,Brahma Sutra Bhasya Vol-I,Halasyanatha Sastri,R-12-B,C6,G,OC,MAIN,
86343,Brahma Sutra Bhasya Vol-II,Halasyanatha Sastri,R-12-B,C6,G,OC,MAIN,
86344,Brahma Sutra Bhasya Vol-II,Halasyanatha Sastri,R-12-B,C6,G,OC,MAIN,
86345,Smriti Sandarbha Vol-I,,R-12-F,A5,G,OC,MAIN,
86346,Smriti Sandarbha Vol-II,,R-12-F,A5,G,OC,MAIN,
86347,Smriti Sandarbha Vol-III,,R-12-E,A5,G,OC,MAIN,
86348,Smriti Sandarbha Vol-IV,,R-12-E,A5,G,OC,MAIN,
86349,Smriti Sandarbha Vol-V,,R-12-E,A5,G,OC,MAIN,
86350,Smriti Sandarbha Vol-VI,Markandaya/Laugakshi,R-12-D,A5,G,OC,MAIN,
